ID,,y,m,d,date, Tracks, Graticule,Exposure T,T/G,T/Area,T/A Day,*T/A Day,AREA
SYK,20140116,2014,01,16,2014/1/16,27,40,14,0.7,464.9,33.2,0.8965,0.00145200000000
GTP ,20140115,2014,01,15,2014/1/15,1405,40,14,35.1,24190.8,1727.9,46.6536,0.00145200000000
GTP,20140116,2014,01,16,2014/1/16,2,40,1,0.1,34.4,34.4,0.9298,0.00145200000000
DYK,20140116,2014,01,16,2014/1/16,26,40,14,0.7,447.7,32.0,0.8633,0.00145200000000
BYH,20140116,2014,01,16,2014/1/16,,,,,,,,0.00145200000000
BY,20140116,2014,01,16,2014/1/16,,,,,,,,
SYK,20140217,2014,02,17,2014/2/17,9,40,32,0.2,155.0,4.8,0.1307,0.00145200000000
GTP,20140217,2014,02,17,2014/2/17,11,40,32,0.3,189.4,5.9,0.1598,0.00145200000000
DYK,20140217,2014,02,17,2014/2/17,22,40,32,0.6,378.8,11.8,0.3196,0.00145200000000
BYH,20140217,2014,02,17,2014/2/17,26,40,32,0.7,447.7,14.0,0.3777,0.00145200000000
BY,20140217,2014,02,17,2014/2/17,0,40,32,0.0,0.0,0.0,0.0000,0.00145200000000
SYK,20140306,2014,03,06,2014/3/6,264,40,17,6.6,4545.5,267.4,7.2193,0.00145200000000
GTP,20140306,2014,03,06,2014/3/6,58,40,17,1.5,998.6,58.7,1.5860,0.00145200000000
BY,20140306,2014,03,06,2014/3/6,517,40,17,12.9,8901.5,523.6,14.1377,0.00145200000000
SYK,20140321,2014,03,21,2014/3/21,211,40,15,5.3,3632.9,242.2,6.5393,0.00145200000000
GTP,20140321,2014,03,21,2014/3/21,51,40,15,1.3,878.1,58.5,1.5806,0.00145200000000
DYK,20140321,2014,03,21,2014/3/21,209,40,32,5.2,3598.5,112.5,3.0362,0.00145200000000
BY,20140321,2014,03,21,2014/3/21,340,40,15,8.5,5854.0,390.3,10.5372,0.00145200000000
GTP ,20140402,2014,04,02,2014/4/2,592,40,12,14.8,10192.8,849.4,22.9339,0.00145200000000
BYH,20140402,2014,04,02,2014/4/2,474,40,12,11.9,8161.2,680.1,18.3626,0.00145200000000
BY ,20140402,2014,04,02,2014/4/2,1234,40,12,30.9,21246.6,1770.5,47.8048,0.00145200000000
SYK,20140425,2014,04,25,2014/4/25,564,40,23,14.1,9710.7,422.2,11.3996,0.00145200000000
GTP,20140425,2014,04,25,2014/4/25,162,40,23,4.1,2789.3,121.3,3.2743,0.00145200000000
BYH,20140425,2014,04,25,2014/4/25,509,40,23,12.7,8763.8,381.0,10.2879,0.00145200000000
BY,20140425,2014,04,25,2014/4/25,788,40,23,19.7,13567.5,589.9,15.9271,0.00145200000000
SYK,20140516,2014,05,16,2014/5/16,431,40,21,10.8,7420.8,353.4,9.5410,0.00145200000000
GTP,20140516,2014,05,16,2014/5/16,100,40,21,2.5,1721.8,82.0,2.2137,0.00145200000000
BYH,20140516,2014,05,16,2014/5/16,83,40,21,2.1,1429.1,68.1,1.8374,0.00145200000000
BY,20140516,2014,05,16,2014/5/16,193,40,21,4.8,3323.0,158.2,4.2724,0.00145200000000
SYK,20140609,2014,06,09,2014/6/9,423,40,24,10.6,7283.1,303.5,8.1934,0.00145200000000
GTP,20140609,2014,06,09,2014/6/9,72,40,24,1.8,1239.7,51.7,1.3946,0.00145200000000
BYH,20140609,2014,06,09,2014/6/9,90,40,24,2.3,1549.6,64.6,1.7433,0.00145200000000
BY,20140609,2014,06,09,2014/6/9,334,40,24,8.4,5750.7,239.6,6.4695,0.00145200000000
SYK,20140711,2014,07,11,2014/7/11,308,40,32,7.7,5303.0,165.7,4.4744,0.00145200000000
GTP,20140711,2014,07,11,2014/7/11,50,40,32,1.3,860.9,26.9,0.7264,0.00145200000000
DYK,20140711,2014,07,11,2014/7/11,8,40,28,0.2,137.7,4.9,0.1328,0.00145200000000
BYH,20140711,2014,07,11,2014/7/11,201,40,32,5.0,3460.7,108.1,2.9200,0.00145200000000
BY,20140711,2014,07,11,2014/7/11,354,45,32,7.9,5417.8,169.3,4.5713,0.00145200000000
SYK ,20140808,2014,08,08,2014/8/8,1189,40,28,29.7,20471.8,731.1,19.7406,0.00145200000000
GTP ,20140808,2014,08,08,2014/8/8,755,40,28,18.9,12999.3,464.3,12.5351,0.00145200000000
DYK,20140808,2014,08,08,2014/8/8,350,40,28,8.8,6026.2,215.2,5.8110,0.00145200000000
BYH,20140808,2014,08,08,2014/8/8,386,40,28,9.7,6646.0,237.4,6.4086,0.00145200000000
BY ,20140808,2014,08,08,2014/8/8,737,40,28,18.4,12689.4,453.2,12.2362,0.00145200000000
SYK ,20140822,2014,08,22,2014/8/22,341,40,14,8.5,5871.2,419.4,11.3231,0.00145200000000
GTP ,20140822,2014,08,22,2014/8/22,151,40,14,3.8,2599.9,185.7,5.0140,0.00145200000000
DYK ,20140822,2014,08,22,2014/8/22,239,41,14,5.8,4014.6,286.8,7.7425,0.00145200000000
BYH,20140822,2014,08,22,2014/8/22,119,40,14,3.0,2048.9,146.3,3.9514,0.00145200000000
BY ,20140822,2014,08,22,2014/8/22,580,40,14,14.5,9986.2,713.3,19.2591,0.00145200000000
SYK ,20140918,2014,09,18,2014/9/18,736,40,27,18.4,12672.2,469.3,12.6722,0.00145200000000
GTP ,20140918,2014,09,18,2014/9/18,100,40,27,2.5,1721.8,63.8,1.7218,0.00145200000000
DYK ,20140918,2014,09,18,2014/9/18,193,40,27,4.8,3323.0,123.1,3.3230,0.00145200000000
DYK,20141012,2014,10,12,2014/10/12,361,40,24,9.0,6215.6,259.0,6.9925,0.00145200000000
SYK ,20141015,2014,10,15,2014/10/15,513,40,27,12.8,8832.6,327.1,8.8326,0.00145200000000
BYH,20141015,2014,10,15,2014/10/15,1161,40,27,29.0,19989.7,740.4,19.9897,0.00145200000000
BY ,20141015,2014,10,15,2014/10/15,2299,40,27,57.5,39583.3,1466.0,39.5833,0.00145200000000
GTP ,20141029,2014,10,29,2014/10/29,502,40,14,12.6,8643.3,617.4,16.6691,0.00145200000000
DYK,20141029,2014,10,29,2014/10/29,256,39,17,6.6,4520.7,265.9,7.1800,0.00145200000000
BYH,20141029,2014,10,29,2014/10/29,269,39,14,6.9,4750.3,339.3,9.1613,0.00145200000000
BY ,20141029,2014,10,29,2014/10/29,381,40,14,9.5,6559.9,468.6,12.6513,0.00145200000000
DYK,20141112,2014,11,12,2014/11/12,798,40,13,20.0,13739.7,1056.9,28.5362,0.00145200000000
SYK ,20141120,2014,11,20,2014/11/20,803,39,22,20.6,14180.3,644.6,17.4031,0.00145200000000
GTP ,20141120,2014,11,20,2014/11/20,770,40,22,19.3,13257.6,602.6,16.2707,0.00145200000000
