"","ID","date","Tracks","Graticule","Exposure.T","T.G","T.Area","T.A.Day","X.T.A.Day","AREA"
"4","DYK",2014-01-16,26,40,14,0.65,447.658402203857,31.9756001574183,0.863341204250295,0.001452
"9","DYK",2014-02-17,22,40,32,0.55,378.787878787879,11.8371212121212,0.319602272727273,0.001452
"17","DYK",2014-03-21,209,40,32,5.225,3598.48484848485,112.452651515152,3.03622159090909,0.001452
"36","DYK",2014-07-11,8,40,112,0.2,137.741046831956,1.22983077528532,0.0332054309327037,0.001452
"41","DYK",2014-08-08,350,40,28,8.75,6026.17079889807,215.220385674931,5.81095041322314,0.001452
"46","DYK",2014-08-22,239,41,14,5.82926829268293,4014.64758449237,286.760541749455,7.74253462723529,0.001452
"51","DYK",2014-09-18,193,40,27,4.825,3323.00275482094,123.074176104479,3.32300275482094,0.001452
"52","DYK",2014-10-12,361,40,24,9.025,6215.56473829201,258.9818640955,6.99251033057851,0.001452
"57","DYK",2014-10-29,256,39,17,6.56410256410256,4520.73179345907,265.925399615239,7.17998578961146,0.001452
"60","DYK",2014-11-12,798,40,14,19.95,13739.6694214876,981.404958677686,26.4979338842975,0.001452
"66","DYK",2014-11-22,8,40,10,0.2,137.741046831956,13.7741046831956,0.371900826446281,0.001452
"68","DYK",2014-12-03,239,40,11,5.975,4115.01377410468,374.092161282244,10.1004883546206,0.001452
"79","DYK",2015-01-15,2386,40,43,59.65,41081.2672176309,955.378307386764,25.7952142994426,0.001452
"86","DYK",2015-02-05,150,40,21,3.75,2582.64462809917,122.983077528532,3.32054309327037,0.001452
"93","DYK",2015-03-06,88,40,29,2.2,1515.15151515152,52.2466039707419,1.41065830721003,0.001452
"127","DYK",2015-10-07,326,40,215,8.15,5612.9476584022,26.106733294894,0.704881798962137,0.001452
"134","DYK",2015-11-05,83,40,29,2.075,1429.06336088154,49.2780469269498,1.33050726702764,0.001452
"144","DYK",2015-12-21,685,40,46,17.125,11794.0771349862,256.392981195353,6.92261049227452,0.001452
"159","DYK",2016-02-19,1021,40,60,25.525,17579.2011019284,292.98668503214,7.91064049586777,0.001452
"172","DYK",2016-03-31,16,40,41,0.4,275.482093663912,6.71907545521736,0.181415037290869,0.001452
"181","DYK",2016-06-07,41,40,68,1.025,705.922865013774,10.3812186031437,0.280292902284881,0.001452
"190","DYK",2016-07-15,4,40,38,0.1,68.870523415978,1.81238219515731,0.0489343192692475,0.001452
"197","DYK",2016-08-25,774,30,41,25.8,6106.50887573965,148.939240871699,4.02135950353586,0.004225
"207","DYK",2016-10-06,33.99,30,42,1.133,268.165680473373,6.38489715412792,0.172392223161454,0.004225
"229","DYK",2016-12-05,12668.01,30,60,422.267,99944.8520710059,1665.74753451677,44.9751834319527,0.004225
"237","DYK",2016-12-13,4428.99,30,8,147.633,34942.7218934911,4367.84023668639,117.931686390533,0.004225
"252","DYK",2017-01-10,6564,30,28,218.8,51786.9822485207,1849.53508030431,49.9374471682164,0.004225
